employeeid,age,gender,department,jobrole,educationlevel,performancerating,jobsatisfaction,environmentsatisfaction,worklifebalance,yearsatcompany,yearsincurrentrole,trainingtimeslastyear,overtime,monthlyincome,distancefromhome,attrition,attrition_flag,age_bin,income_bin,distance_bin,tenure_bin,low_job_satisfaction,poor_work_life,long_role_stagnation,long_commute,attrition_probability,attrition_risk_score
6115,58,Female,IT,Manager,1,2,3,4,3,17,3,4,No,12039,14,No,0,"(50, 65]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,0,1,0,0.05727878579359866,5.7
6116,46,Male,Marketing,Specialist,1,2,3,3,1,14,7,3,Yes,17603,4,Yes,1,"(40, 50]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",0,1,1,0,0.18440955524207087,18.4
6117,29,Female,Finance,Engineer,1,3,3,2,3,1,7,2,No,6592,19,No,0,"(18, 30]","(2999.999, 7292.0]","(15.0, 22.0]","(0, 2]",0,0,1,1,0.08416776476705556,8.4
6118,55,Female,Finance,Engineer,1,2,3,3,1,8,1,1,No,17713,12,No,0,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(5, 10]",0,1,0,0,0.1572912532856486,15.7
6119,53,Female,Finance,Executive,5,3,2,3,2,16,0,3,No,11237,25,No,0,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",1,1,0,1,0.07398779685494587,7.4
6120,32,Female,Sales,Executive,3,4,1,1,3,17,7,1,No,13814,23,No,0,"(30, 40]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.3195878194053322,32.0
6121,46,Male,HR,Specialist,4,3,2,1,1,9,6,3,No,15043,7,No,0,"(40, 50]","(11588.5, 15743.5]","(0.999, 8.0]","(5, 10]",1,1,1,0,0.12020785004216751,12.0
6122,24,Female,Marketing,Coordinator,4,4,4,1,1,8,9,0,Yes,8603,25,Yes,1,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(5, 10]",0,1,1,1,0.029039277310015123,2.9
6123,53,Male,Finance,Coordinator,5,4,2,3,4,19,1,5,Yes,17783,24,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",1,0,0,1,0.06805703700379423,6.8
6124,56,Female,R&D,Analyst,2,2,1,2,3,19,4,2,Yes,18189,10,No,0,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.5780116188579997,57.8
6125,53,Female,HR,Engineer,1,3,1,4,2,19,4,3,No,5983,20,Yes,1,"(50, 65]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",1,1,1,1,0.35830248021936173,35.8
6126,55,Male,Sales,Executive,3,4,4,4,2,8,6,1,No,17440,22,No,0,"(50, 65]","(15743.5, 19999.0]","(15.0, 22.0]","(5, 10]",0,1,1,1,0.006669704148504921,0.7
6127,58,Female,Operations,Analyst,1,2,4,4,3,3,1,3,No,4558,21,No,0,"(50, 65]","(2999.999, 7292.0]","(15.0, 22.0]","(2, 5]",0,0,0,1,0.011312588128552311,1.1
6128,26,Female,Sales,Engineer,1,3,2,2,1,14,8,3,No,19720,25,No,0,"(18, 30]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.11127248392451307,11.1
6129,49,Male,Operations,Engineer,4,3,2,3,2,19,8,3,No,17223,21,No,0,"(40, 50]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",1,1,1,1,0.05013725099158125,5.0
6130,49,Female,R&D,Analyst,1,4,4,3,1,9,4,0,No,4874,21,No,0,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(5, 10]",0,1,1,1,0.014284771097721612,1.4
6131,29,Female,Operations,Executive,3,2,4,2,4,9,1,5,Yes,9881,24,No,0,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(5, 10]",0,0,0,1,0.012514150089045762,1.3
6132,48,Female,IT,Specialist,3,2,2,1,2,15,6,5,Yes,15507,24,No,0,"(40, 50]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.12683756089494216,12.7
6133,37,Male,Finance,Coordinator,4,2,4,2,1,0,3,5,Yes,14416,1,Yes,1,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]",,0,1,1,0,0.05080975025096405,5.1
6134,39,Female,HR,Engineer,5,2,4,3,2,18,2,5,Yes,3744,5,No,0,"(30, 40]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",0,1,0,0,0.01636649244208145,1.6
6135,46,Male,Marketing,Manager,4,2,2,4,1,3,6,2,Yes,4139,13,Yes,1,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(2, 5]",1,1,1,0,0.24551677367888738,24.6
6136,22,Male,IT,Manager,4,3,1,4,4,7,6,5,No,19757,14,No,0,"(18, 30]","(15743.5, 19999.0]","(8.0, 15.0]","(5, 10]",1,0,1,0,0.21123499568678847,21.1
6137,29,Male,HR,Manager,1,3,4,4,4,16,0,5,No,15595,7,No,0,"(18, 30]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",0,0,0,0,0.004393777665625714,0.4
6138,42,Male,Finance,Specialist,2,3,3,1,4,2,6,4,No,9809,4,No,0,"(40, 50]","(7292.0, 11588.5]","(0.999, 8.0]","(0, 2]",0,0,1,0,0.041731983383855184,4.2
6139,55,Female,HR,Coordinator,5,3,4,1,1,2,9,3,No,7573,5,No,0,"(50, 65]","(7292.0, 11588.5]","(0.999, 8.0]","(0, 2]",0,1,1,0,0.018929733703288685,1.9
6140,45,Female,Sales,Engineer,5,3,2,2,2,11,4,3,No,4567,24,No,0,"(40, 50]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.06993650372257125,7.0
6141,58,Male,Finance,Executive,5,3,3,4,2,7,6,0,No,18727,7,No,0,"(50, 65]","(15743.5, 19999.0]","(0.999, 8.0]","(5, 10]",0,1,1,0,0.06384570989152161,6.4
6142,47,Female,Finance,Executive,1,3,3,1,1,4,7,1,No,13721,19,No,0,"(40, 50]","(11588.5, 15743.5]","(15.0, 22.0]","(2, 5]",0,1,1,1,0.1502673250664492,15.0
6143,35,Female,HR,Coordinator,4,3,4,3,4,14,9,4,No,10548,8,No,0,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.0038767605310803302,0.4
6144,50,Female,Marketing,Specialist,1,3,2,2,4,7,6,4,Yes,15435,11,No,0,"(40, 50]","(11588.5, 15743.5]","(8.0, 15.0]","(5, 10]",1,0,1,0,0.08442801011435126,8.4
6145,51,Female,IT,Coordinator,3,2,2,3,3,12,9,4,No,11038,15,No,0,"(50, 65]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",1,0,1,1,0.06078400206216593,6.1
6146,24,Female,Operations,Engineer,2,4,4,3,1,5,1,0,No,11440,8,No,0,"(18, 30]","(7292.0, 11588.5]","(0.999, 8.0]","(2, 5]",0,1,0,0,0.015535796345443876,1.6
6147,28,Female,Marketing,Analyst,2,4,1,4,4,9,3,4,No,11004,21,Yes,1,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(5, 10]",1,0,1,1,0.23319122007480567,23.3
6148,57,Male,Marketing,Analyst,1,3,3,3,3,0,5,5,No,17289,27,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]",,0,0,1,1,0.07529417689906917,7.5
6149,32,Female,R&D,Engineer,4,3,2,4,4,8,8,1,No,19003,17,No,0,"(30, 40]","(15743.5, 19999.0]","(15.0, 22.0]","(5, 10]",1,0,1,1,0.04010638577764602,4.0
6150,53,Male,Marketing,Engineer,5,4,2,2,2,4,4,2,No,4194,28,No,0,"(50, 65]","(2999.999, 7292.0]","(22.0, 29.0]","(2, 5]",1,1,1,1,0.06622528703280786,6.6
6151,33,Female,Operations,Executive,3,3,4,3,3,11,1,4,Yes,16394,5,No,0,"(30, 40]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",0,0,0,0,0.01777065701042352,1.8
6152,36,Male,Sales,Specialist,3,3,4,4,1,12,3,5,No,15952,28,No,0,"(30, 40]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",0,1,1,1,0.012521916519130743,1.3
6153,59,Female,Finance,Specialist,2,3,1,3,2,5,7,3,No,12328,18,Yes,1,"(50, 65]","(11588.5, 15743.5]","(15.0, 22.0]","(2, 5]",1,1,1,1,0.43006909531843024,43.0
6154,45,Male,Finance,Coordinator,4,3,4,1,2,15,3,1,No,19545,10,No,0,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",0,1,1,0,0.009186574194274625,0.9
6155,22,Male,Sales,Executive,5,3,2,1,3,11,7,1,Yes,3948,17,No,0,"(18, 30]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",1,0,1,1,0.11416831172754413,11.4
6156,39,Female,R&D,Manager,2,1,3,3,2,3,3,4,Yes,5537,10,No,0,"(30, 40]","(2999.999, 7292.0]","(8.0, 15.0]","(2, 5]",0,1,1,0,0.2083816071504323,20.8
6157,28,Female,Finance,Analyst,4,2,2,1,3,2,7,3,No,14130,18,No,0,"(18, 30]","(11588.5, 15743.5]","(15.0, 22.0]","(0, 2]",1,0,1,1,0.10368229972429298,10.4
6158,23,Male,Operations,Engineer,5,3,2,2,1,1,2,1,No,12435,2,No,0,"(18, 30]","(11588.5, 15743.5]","(0.999, 8.0]","(0, 2]",1,1,0,0,0.13689952736796024,13.7
6159,52,Female,Sales,Coordinator,1,1,4,1,4,9,3,0,Yes,9258,28,No,0,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]","(5, 10]",0,0,1,1,0.016746965992333992,1.7
6160,54,Female,Finance,Analyst,4,3,1,2,2,11,9,4,No,16655,8,Yes,1,"(50, 65]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",1,1,1,0,0.37174303056016644,37.2
6161,51,Female,Operations,Analyst,3,3,3,4,1,3,8,3,Yes,3649,4,No,0,"(50, 65]","(2999.999, 7292.0]","(0.999, 8.0]","(2, 5]",0,1,1,0,0.19896058144180429,19.9
6162,52,Female,Sales,Coordinator,4,2,4,2,4,14,4,5,Yes,15981,10,No,0,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",0,0,1,0,0.01107436435817675,1.1
6163,55,Male,Sales,Specialist,4,1,3,4,3,13,2,2,No,7361,23,No,0,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",0,0,0,1,0.06410377723420828,6.4
6164,28,Female,Sales,Executive,4,1,4,1,3,12,2,1,No,18185,28,No,0,"(18, 30]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",0,0,0,1,0.011701246437703658,1.2
6165,46,Female,R&D,Manager,5,3,3,4,1,16,3,2,Yes,18550,18,No,0,"(40, 50]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.22844428279781234,22.8
6166,37,Female,Sales,Manager,5,2,2,1,4,4,1,3,Yes,18697,29,No,0,"(30, 40]","(15743.5, 19999.0]","(22.0, 29.0]","(2, 5]",1,0,0,1,0.13675469535988874,13.7
6167,43,Female,Marketing,Coordinator,1,3,2,4,3,9,6,5,No,18765,12,No,0,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(5, 10]",1,0,1,0,0.07058962009069393,7.1
6168,57,Male,IT,Coordinator,1,3,4,2,4,9,6,0,No,13622,23,No,0,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(5, 10]",0,0,1,1,0.004075655529895551,0.4
6169,48,Female,HR,Executive,5,1,4,3,3,16,8,3,No,13674,26,No,0,"(40, 50]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.009106828555749891,0.9
6170,38,Female,HR,Analyst,5,1,2,3,4,18,7,2,No,4667,26,No,0,"(30, 40]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.03975773402615816,4.0
6171,25,Female,Sales,Executive,2,4,4,3,1,11,2,3,Yes,16413,28,Yes,1,"(18, 30]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",0,1,0,1,0.028243152305875766,2.8
6172,56,Male,Finance,Executive,4,2,3,4,1,1,4,3,No,7442,20,No,0,"(50, 65]","(7292.0, 11588.5]","(15.0, 22.0]","(0, 2]",0,1,1,1,0.14636948448289422,14.6
6173,43,Female,Marketing,Engineer,4,3,3,3,2,2,7,1,No,18483,23,No,0,"(40, 50]","(15743.5, 19999.0]","(22.0, 29.0]","(0, 2]",0,1,1,1,0.07832592463050746,7.8
6174,56,Male,Marketing,Engineer,3,2,4,1,2,14,7,5,No,12088,5,No,0,"(50, 65]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",0,1,1,0,0.007475232226312083,0.7
6175,36,Female,HR,Analyst,5,3,3,1,1,12,1,3,Yes,16219,3,Yes,1,"(30, 40]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",0,1,0,0,0.23729304728486894,23.7
6176,42,Female,Operations,Specialist,5,1,3,2,2,3,0,0,Yes,12456,18,No,0,"(40, 50]","(11588.5, 15743.5]","(15.0, 22.0]","(2, 5]",0,1,0,1,0.21509874480898372,21.5
6177,34,Male,Operations,Manager,1,3,2,4,3,13,4,1,No,15358,10,No,0,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.06462813675315009,6.5
6178,32,Male,Finance,Engineer,1,3,1,2,2,12,0,0,Yes,15511,9,No,0,"(30, 40]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",1,1,0,0,0.5968096267826489,59.7
6179,48,Female,Operations,Analyst,4,3,3,3,2,6,6,2,No,16607,1,No,0,"(40, 50]","(15743.5, 19999.0]","(0.999, 8.0]","(5, 10]",0,1,1,0,0.06837951264535756,6.8
6180,52,Female,IT,Coordinator,4,4,4,4,4,13,7,5,No,7284,1,No,0,"(50, 65]","(2999.999, 7292.0]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.0026767243807741857,0.3
6181,53,Female,Finance,Executive,5,3,1,2,3,5,5,3,No,15403,28,No,0,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(2, 5]",1,0,1,1,0.4534369899938362,45.3
6182,51,Female,Operations,Engineer,4,4,3,1,1,4,2,5,Yes,17409,27,Yes,1,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(2, 5]",0,1,0,1,0.25119585334049344,25.1
6183,39,Female,Sales,Executive,5,2,1,3,3,12,9,4,No,6858,16,No,0,"(30, 40]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",1,0,1,1,0.35346747122383987,35.3
6184,37,Male,Marketing,Executive,3,3,1,3,4,5,0,3,No,13509,2,No,0,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(2, 5]",1,0,0,0,0.266706156216012,26.7
6185,56,Female,Operations,Engineer,3,4,1,3,2,16,1,4,Yes,11039,7,No,0,"(50, 65]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",1,1,0,0,0.5182578845814163,51.8
6186,30,Male,Marketing,Analyst,2,3,2,2,3,7,1,1,No,16277,9,No,0,"(18, 30]","(15743.5, 19999.0]","(8.0, 15.0]","(5, 10]",1,0,0,0,0.07119832672430805,7.1
6187,58,Male,Sales,Coordinator,1,3,1,3,4,6,9,2,No,17094,10,Yes,1,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(5, 10]",1,0,1,0,0.24276889974781982,24.3
6188,31,Female,Operations,Manager,2,3,2,1,1,13,1,4,Yes,17652,27,No,0,"(30, 40]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",1,1,0,1,0.27981193342680677,28.0
6189,33,Female,Operations,Analyst,3,1,4,3,2,2,9,3,No,7369,23,No,0,"(30, 40]","(7292.0, 11588.5]","(22.0, 29.0]","(0, 2]",0,1,1,1,0.011101046002275008,1.1
6190,29,Male,Operations,Specialist,4,1,4,2,4,17,4,3,No,11725,4,No,0,"(18, 30]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.004357769941622219,0.4
6191,24,Male,Sales,Specialist,1,1,1,2,4,14,1,3,No,15248,15,Yes,1,"(18, 30]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",1,0,0,1,0.28805937692058364,28.8
6192,40,Female,Operations,Manager,1,2,2,3,4,14,8,2,Yes,6082,23,No,0,"(30, 40]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.08611156805844661,8.6
6193,32,Male,Operations,Coordinator,2,1,3,3,1,18,5,4,No,18976,22,No,0,"(30, 40]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.12305280350190115,12.3
6194,29,Male,Marketing,Specialist,1,2,4,2,1,18,6,4,No,12400,10,No,0,"(18, 30]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,1,1,0,0.011445732083795982,1.1
6195,47,Male,IT,Executive,3,3,3,1,4,12,2,2,No,9925,26,No,0,"(40, 50]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",0,0,0,1,0.029342091422650256,2.9
6196,44,Female,R&D,Specialist,4,2,1,1,3,13,9,0,No,4931,20,No,0,"(40, 50]","(2999.999, 7292.0]","(15.0, 22.0]","(10, 40]",1,0,1,1,0.3823847701719088,38.2
6197,31,Female,Sales,Engineer,2,3,2,3,1,18,6,1,No,16575,12,No,0,"(30, 40]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.09585882982391347,9.6
6198,39,Male,IT,Executive,4,1,3,3,3,18,3,2,No,10809,7,No,0,"(30, 40]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.05053398607933169,5.1
6199,33,Male,HR,Analyst,2,2,2,3,3,16,7,3,No,15128,6,No,0,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(10, 40]",1,0,1,0,0.059471364374722266,5.9
6200,47,Female,Marketing,Coordinator,5,4,4,2,4,11,8,5,Yes,12499,15,No,0,"(40, 50]","(11588.5, 15743.5]","(8.0, 15.0]","(10, 40]",0,0,1,1,0.008380965425158917,0.8
6201,32,Female,Finance,Manager,1,1,4,4,4,15,4,0,Yes,10257,28,No,0,"(30, 40]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",0,0,1,1,0.013860180382435744,1.4
6202,31,Male,Marketing,Engineer,5,4,2,4,2,18,2,5,Yes,15639,29,No,0,"(30, 40]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,1,0,1,0.09223312501092557,9.2
6203,24,Female,R&D,Engineer,1,3,4,2,1,12,5,5,No,8630,19,No,0,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.015340907499927293,1.5
6204,28,Female,IT,Manager,5,4,4,3,1,9,2,4,No,18151,16,No,0,"(18, 30]","(15743.5, 19999.0]","(15.0, 22.0]","(5, 10]",0,1,0,1,0.013321202578230438,1.3
6205,25,Female,IT,Specialist,4,3,4,4,1,7,5,1,Yes,6812,26,Yes,1,"(18, 30]","(2999.999, 7292.0]","(22.0, 29.0]","(5, 10]",0,1,1,1,0.02492230823190441,2.5
6206,29,Female,Operations,Manager,3,4,3,2,4,16,6,3,No,8315,18,No,0,"(18, 30]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",0,0,1,1,0.03132818240737229,3.1
6207,59,Female,HR,Manager,2,2,4,2,1,12,5,3,Yes,19647,24,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",0,1,1,1,0.0483903225670536,4.8
6208,34,Male,HR,Specialist,1,4,2,1,4,1,3,3,No,8146,21,No,0,"(30, 40]","(7292.0, 11588.5]","(15.0, 22.0]","(0, 2]",1,0,1,1,0.048040016317330174,4.8
6209,33,Male,Operations,Analyst,2,3,4,2,1,11,6,2,No,8352,21,No,0,"(30, 40]","(7292.0, 11588.5]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.012980254632510952,1.3
6210,56,Female,IT,Coordinator,3,3,2,3,3,17,1,5,No,15627,23,No,0,"(50, 65]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,0,0,1,0.05959151672868232,6.0
6211,59,Female,Marketing,Manager,5,2,2,1,4,18,4,4,No,18543,25,No,0,"(50, 65]","(15743.5, 19999.0]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.04934841200903955,4.9
6212,57,Female,IT,Specialist,4,1,3,4,2,15,5,0,No,17933,15,No,0,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",0,1,1,1,0.0633106542242365,6.3
6213,23,Female,Operations,Engineer,2,3,2,2,2,19,5,1,No,7563,24,No,0,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(10, 40]",1,1,1,1,0.060384743833742587,6.0
6214,36,Male,R&D,Manager,5,3,3,1,1,1,4,3,Yes,9396,21,No,0,"(30, 40]","(7292.0, 11588.5]","(15.0, 22.0]","(0, 2]",0,1,1,1,0.2798162234791989,28.0
6215,55,Male,Sales,Coordinator,1,3,2,2,3,19,9,2,No,5286,27,No,0,"(50, 65]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.04891735279140161,4.9
6216,47,Female,R&D,Manager,2,2,2,2,3,5,4,5,No,10131,1,No,0,"(40, 50]","(7292.0, 11588.5]","(0.999, 8.0]","(2, 5]",1,0,1,0,0.104242713993202,10.4
6217,26,Female,Sales,Analyst,2,2,3,1,1,13,7,2,Yes,17499,21,Yes,1,"(18, 30]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,1,1,1,0.2290726661188184,22.9
6218,46,Female,HR,Analyst,1,2,3,4,2,2,4,1,Yes,7159,14,No,0,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(0, 2]",0,1,1,0,0.17237292624904021,17.2
6219,55,Female,Finance,Engineer,3,1,2,2,1,18,5,0,Yes,18353,18,No,0,"(50, 65]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",1,1,1,1,0.28908713729613433,28.9
6220,25,Female,Operations,Analyst,5,3,2,3,3,7,9,2,No,8468,26,No,0,"(18, 30]","(7292.0, 11588.5]","(22.0, 29.0]","(5, 10]",1,0,1,1,0.06203402170592981,6.2
6221,55,Male,R&D,Coordinator,2,3,1,4,1,7,0,2,No,5029,29,No,0,"(50, 65]","(2999.999, 7292.0]","(22.0, 29.0]","(5, 10]",1,1,0,1,0.5648251915539444,56.5
6222,48,Male,HR,Engineer,5,3,2,4,1,5,0,4,No,10032,3,No,0,"(40, 50]","(7292.0, 11588.5]","(0.999, 8.0]","(2, 5]",1,1,0,0,0.13037317220037364,13.0
6223,50,Female,R&D,Manager,4,2,3,2,1,9,0,4,Yes,8497,25,Yes,1,"(40, 50]","(7292.0, 11588.5]","(22.0, 29.0]","(5, 10]",0,1,0,1,0.29798530325980216,29.8
6224,26,Female,IT,Specialist,5,4,2,4,3,10,3,0,No,17476,3,No,0,"(18, 30]","(15743.5, 19999.0]","(0.999, 8.0]","(5, 10]",1,0,1,0,0.04939949990935883,4.9
6225,39,Male,Sales,Analyst,5,2,1,1,2,16,2,5,No,17245,1,Yes,1,"(30, 40]","(15743.5, 19999.0]","(0.999, 8.0]","(10, 40]",1,1,0,0,0.3660649232037288,36.6
6226,25,Male,Operations,Engineer,1,3,2,1,4,10,4,5,No,7257,25,No,0,"(18, 30]","(2999.999, 7292.0]","(22.0, 29.0]","(5, 10]",1,0,1,1,0.03975281637184023,4.0
6227,22,Male,IT,Analyst,5,2,4,4,1,18,6,1,No,11038,7,No,0,"(18, 30]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",0,1,1,0,0.00842904044554109,0.8
6228,41,Female,Sales,Analyst,3,3,1,2,4,12,5,3,No,3565,13,Yes,1,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.2242197090176258,22.4
6229,27,Male,IT,Executive,5,2,3,3,4,2,2,2,Yes,5881,24,No,0,"(18, 30]","(2999.999, 7292.0]","(22.0, 29.0]","(0, 2]",0,0,0,1,0.07434375113930604,7.4
6230,41,Female,Sales,Manager,4,3,4,2,2,5,1,3,No,10994,8,No,0,"(40, 50]","(7292.0, 11588.5]","(0.999, 8.0]","(2, 5]",0,1,0,0,0.010878339035580954,1.1
6231,41,Female,Sales,Analyst,5,3,3,2,2,1,1,3,No,12436,18,No,0,"(40, 50]","(11588.5, 15743.5]","(15.0, 22.0]","(0, 2]",0,1,0,1,0.08631537233419698,8.6
6232,48,Male,IT,Specialist,1,3,2,2,3,0,2,3,No,11003,15,No,0,"(40, 50]","(7292.0, 11588.5]","(8.0, 15.0]",,1,0,0,1,0.07214992976390512,7.2
6233,47,Female,HR,Coordinator,4,2,1,4,4,15,9,0,No,17265,11,Yes,1,"(40, 50]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.25411411888755203,25.4
6234,53,Male,Operations,Executive,1,3,3,4,4,8,2,1,No,19845,11,No,0,"(50, 65]","(15743.5, 19999.0]","(8.0, 15.0]","(5, 10]",0,0,0,0,0.03585574785253974,3.6
6235,31,Female,Finance,Engineer,3,4,2,2,1,0,2,1,Yes,16836,11,Yes,1,"(30, 40]","(15743.5, 19999.0]","(8.0, 15.0]",,1,1,0,0,0.28144026574757003,28.1
6236,39,Male,R&D,Engineer,3,2,3,3,1,17,7,4,No,3734,29,No,0,"(30, 40]","(2999.999, 7292.0]","(22.0, 29.0]","(10, 40]",0,1,1,1,0.08959318575891455,9.0
6237,33,Male,Marketing,Specialist,1,3,4,2,2,16,2,3,Yes,15997,20,No,0,"(30, 40]","(15743.5, 19999.0]","(15.0, 22.0]","(10, 40]",0,1,0,1,0.015007525745176678,1.5
6238,31,Male,Sales,Specialist,3,2,2,3,2,15,5,3,Yes,19107,10,No,0,"(30, 40]","(15743.5, 19999.0]","(8.0, 15.0]","(10, 40]",1,1,1,0,0.12012402140321053,12.0
6239,45,Male,Operations,Coordinator,1,3,1,2,2,5,8,2,No,19172,17,Yes,1,"(40, 50]","(15743.5, 19999.0]","(15.0, 22.0]","(2, 5]",1,1,1,1,0.42552593891024837,42.6
6240,45,Female,R&D,Manager,2,3,2,3,3,17,7,0,Yes,7806,9,No,0,"(40, 50]","(7292.0, 11588.5]","(8.0, 15.0]","(10, 40]",1,0,1,0,0.12204733678862692,12.2
6241,59,Male,Operations,Specialist,5,3,3,2,4,13,5,3,Yes,8056,5,No,0,"(50, 65]","(7292.0, 11588.5]","(0.999, 8.0]","(10, 40]",0,0,1,0,0.059818080480621365,6.0
6242,46,Male,IT,Engineer,2,3,2,1,3,16,9,0,No,14579,28,No,0,"(40, 50]","(11588.5, 15743.5]","(22.0, 29.0]","(10, 40]",1,0,1,1,0.046152254131960516,4.6
6243,29,Male,R&D,Manager,3,4,3,4,4,5,4,5,No,12424,26,No,0,"(18, 30]","(11588.5, 15743.5]","(22.0, 29.0]","(2, 5]",0,0,1,1,0.0366169981586988,3.7
6244,35,Male,Operations,Specialist,1,4,1,2,2,10,4,4,No,15605,6,Yes,1,"(30, 40]","(11588.5, 15743.5]","(0.999, 8.0]","(5, 10]",1,1,1,0,0.3412243878963326,34.1
6245,52,Female,Finance,Specialist,1,4,3,4,3,1,7,0,No,8264,23,No,0,"(50, 65]","(7292.0, 11588.5]","(22.0, 29.0]","(0, 2]",0,0,1,1,0.06877218417114936,6.9
6246,45,Male,Marketing,Engineer,1,3,4,2,3,2,6,1,Yes,6167,12,No,0,"(40, 50]","(2999.999, 7292.0]","(8.0, 15.0]","(0, 2]",0,0,1,0,0.017762214729476946,1.8
